,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積
1519,グレイスコート岩本町,賃貸マンション,東京都千代田区岩本町１,ＪＲ総武線快速/馬喰町駅 歩4分,築3年,11階建,9階,14.3万円,10000円,-,-,ワンルーム,30.01m2
1520,グレイスコート岩本町,賃貸マンション,東京都千代田区岩本町１,ＪＲ総武線快速/馬喰町駅 歩4分,築3年,11階建,5階,18.1万円,15000円,-,-,1LDK,41.16m2
1521,グレイスコート岩本町,賃貸マンション,東京都千代田区岩本町１,ＪＲ総武線快速/馬喰町駅 歩4分,築3年,11階建,8階,18.4万円,15000円,-,-,1LDK,41.16m2
1530,フォーシーズンズグランデ一番町,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩3分,築23年,地下2地上14階建,8階,46万円,45000円,92万円,46万円,2LDK,87.68m2
1533,フォーシーズンズグランデ一番町,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩3分,築23年,地下2地上14階建,8階,46万円,45000円,92万円,46万円,2LDK,83.55m2
1542,カーサ麹町,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩3分,築8年,3階建,3階,14.1万円,6000円,14.1万円,-,1LDK,31.88m2
1545,メインステージ神田須田町,賃貸マンション,東京都千代田区神田須田町１,東京メトロ銀座線/神田駅 歩1分,築8年,地下2地上14階建,8階,10.95万円,20000円,-,10.95万円,1K,25.61m2
1546,メインステージ神田須田町,賃貸マンション,東京都千代田区神田須田町１,東京メトロ銀座線/神田駅 歩1分,築8年,地下2地上14階建,8階,18万円,20000円,-,18万円,1LDK,40.66m2
1547,メインステージ神田須田町,賃貸マンション,東京都千代田区神田須田町１,東京メトロ銀座線/神田駅 歩1分,築8年,地下2地上14階建,9階,18万円,20000円,-,18万円,1LDK,40.66m2
1548,メインステージ神田須田町,賃貸マンション,東京都千代田区神田須田町１,東京メトロ銀座線/神田駅 歩1分,築8年,地下2地上14階建,13階,19万円,20000円,-,19万円,1LDK,40.66m2
1557,都営浅草線 浅草橋駅 21階建 築18年,賃貸マンション,東京都千代田区神田練塀町,都営浅草線/浅草橋駅 歩1分,築18年,21階建,6階,17.5万円,-,35万円,17.5万円,1LDK,41.92m2
1559,都営浅草線 浅草橋駅 21階建 築18年,賃貸マンション,東京都千代田区神田練塀町,都営浅草線/浅草橋駅 歩1分,築18年,21階建,6階,17.5万円,15000円,35万円,17.5万円,1LDK,41.92m2
1560,都営浅草線 浅草橋駅 21階建 築18年,賃貸マンション,東京都千代田区神田練塀町,都営浅草線/浅草橋駅 歩1分,築18年,21階建,18階,19.5万円,15000円,19.5万円,39万円,1LDK,42.1m2
