,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積
5883,麹町三番町マンション,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩4分,築53年,11階建,4階,38万円,-,38万円,38万円,3LDK,105.6m2
5886,ＪＲ山手線 秋葉原駅 3階建 築48年,賃貸マンション,東京都千代田区神田和泉町,ＪＲ山手線/秋葉原駅 歩4分,築48年,3階建,3階,15万円,-,15万円,15万円,3DK,53.64m2
5892,二番町パークフォレスト,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩4分,築20年,地下2地上14階建,12階,65万円,-,130万円,130万円,2LDK,133.84m2
5895,パークコート千代田一番町,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩3分,築2年,地下1地上14階建,2階,31万円,20000円,62万円,31万円,2LDK,51.11m2
5896,パークコート千代田一番町,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩3分,築2年,地下1地上14階建,14階,46万円,20000円,46万円,46万円,2LDK,60.1m2
5898,パークコート千代田一番町,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩3分,築2年,地下1地上14階建,13階,53万円,30000円,53万円,53万円,2LDK,73.22m2
5913,プラネスーペリア四番町,賃貸マンション,東京都千代田区四番町,東京メトロ南北線/市ケ谷駅 歩3分,築6年,地下1地上12階建,8階,40万円,20000円,40万円,40万円,2LDK,67m2
5919,パルシオ五番町,賃貸マンション,東京都千代田区五番町,東京メトロ有楽町線/市ケ谷駅 歩4分,築21年,地下2地上14階建,4階,34.8万円,20000円,69.6万円,34.8万円,2LDK,66.67m2
5922,アトラス千代田御茶ノ水,賃貸マンション,東京都千代田区神田猿楽町１,東京メトロ半蔵門線/神保町駅 歩5分,築6年,地下1地上14階建,10階,33.5万円,-,67万円,67万円,2LDK,57.45m2
5925,ＪＲ山手線 神田駅 12階建 築4年,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩4分,築4年,12階建,11階,19.7万円,12000円,19.7万円,-,1SLDK,37.91m2
5946,東京メトロ半蔵門線 半蔵門駅 地下1地上9階建 築20年,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩5分,築20年,地下1地上9階建,6階,75万円,-,150万円,75万円,2LDK,113.71m2
5952,東京メトロ丸ノ内線 淡路町駅 11階建 築10年,賃貸マンション,東京都千代田区神田錦町１,東京メトロ丸ノ内線/淡路町駅 歩2分,築10年,11階建,2階,16万円,10000円,16万円,16万円,2DK,42.47m2
5961,ウエリス千代田東神田,賃貸マンション,東京都千代田区東神田２,ＪＲ総武線快速/馬喰町駅 歩4分,築6年,12階建,6階,18万円,15000円,18万円,18万円,1LDK,42.47m2
5962,ウエリス千代田東神田,賃貸マンション,東京都千代田区東神田２,ＪＲ総武線快速/馬喰町駅 歩4分,築6年,12階建,6階,18.5万円,15000円,18.5万円,18.5万円,1LDK,42.47m2
5970,ルグラン三番町,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩7分,築25年,8階建,2階,48万円,-,96万円,48万円,2LDK,98m2
5973,ルジェンテ千代田神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,築9年,13階建,2階,15万円,10000円,15万円,15万円,1LDK,30.63m2
5974,ルジェンテ千代田神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,築9年,13階建,7階,18.5万円,10000円,18.5万円,18.5万円,1LDK,39.74m2
5979,ライオンズ千代田三崎町,賃貸マンション,東京都千代田区神田三崎町３,ＪＲ中央線/水道橋駅 歩3分,築11年,14階建,12階,16.8万円,-,16.8万円,16.8万円,1LDK,37.03m2
5985,ＣＯＮＯＥ＜秋葉原岩本町＞,賃貸マンション,東京都千代田区岩本町３,都営新宿線/岩本町駅 歩3分,築11年,12階建,3階,18万円,10000円,36万円,18万円,1LDK,47.29m2
5988,ＪＲ山手線 神田駅 5階建 築24年,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,築24年,5階建,4-5階,25万円,-,100万円,25万円,1SLDK,66.93m2
5994,チェスターハウス猿楽町,賃貸マンション,東京都千代田区神田猿楽町１,都営新宿線/神保町駅 歩4分,築21年,6階建,2階,16万円,4000円,32万円,-,1LDK,39.99m2
5997,アイディーコート飯田橋,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/飯田橋駅 歩3分,築12年,12階建,5階,22.5万円,18000円,22.5万円,22.5万円,1LDK,46.2m2
6000,東京メトロ銀座線 末広町駅 9階建 築45年,賃貸マンション,東京都千代田区外神田６,東京メトロ銀座線/末広町駅 歩3分,築45年,9階建,8階,18.3万円,-,-,18.3万円,2LDK,69.6m2
6012,東京メトロ日比谷線 秋葉原駅 地下1地上5階建 築5年,賃貸マンション,東京都千代田区神田和泉町,東京メトロ日比谷線/秋葉原駅 歩3分,築5年,地下1地上5階建,4-5階,17万円,5000円,17万円,17万円,1LDK,44.76m2
6015,ＪＲ山手線 秋葉原駅 12階建 築5年,賃貸マンション,東京都千代田区東神田２,ＪＲ山手線/秋葉原駅 歩6分,築5年,12階建,6階,17万円,5000円,17万円,17万円,1SLDK,40.62m2
6018,ＪＲ中央線 四ツ谷駅 地下1地上14階建 築5年,賃貸マンション,東京都千代田区麹町６,ＪＲ中央線/四ツ谷駅 歩3分,築5年,地下1地上14階建,3階,18.5万円,25000円,18.5万円,18.5万円,1LDK,36.4m2
6024,グランリビオ千代田平河町,賃貸マンション,東京都千代田区平河町１,東京メトロ半蔵門線/半蔵門駅 歩3分,築4年,14階建,9階,18万円,10000円,18万円,18万円,1LDK,32.6m2
6027,東京メトロ東西線 九段下駅 12階建 築10年,賃貸マンション,東京都千代田区九段南２,東京メトロ東西線/九段下駅 歩5分,築10年,12階建,4階,20万円,6000円,20万円,20万円,1LDK,45.96m2
6039,ＰＥＡＫＳ神田,賃貸マンション,東京都千代田区神田西福田町,ＪＲ山手線/神田駅 歩5分,築7年,14階建,14階,18.2万円,10000円,18.2万円,-,1LDK,37.64m2
6043,ＪＲ総武線 浅草橋駅 4階建 築36年,賃貸マンション,東京都千代田区東神田３,ＪＲ総武線/浅草橋駅 歩4分,築36年,4階建,3階,12.5万円,-,12.5万円,12.5万円,2DK,38.04m2
6066,アンビックス神田,賃貸マンション,東京都千代田区神田鍛冶町３,ＪＲ山手線/神田駅 歩2分,築12年,9階建,3階,18.8万円,13000円,18.8万円,18.8万円,1LDK,40.41m2
6081,東京メトロ半蔵門線 半蔵門駅 地下1地上10階建 築52年,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩3分,築52年,地下1地上10階建,6階,22万円,-,44万円,-,2LDK,60.09m2
6084,富士第一ビル,賃貸マンション,東京都千代田区神田須田町１,東京メトロ丸ノ内線/淡路町駅 歩3分,築45年,10階建,8階,25.75万円,20000円,25.75万円,-,2LDK,73.39m2
6087,ホーマッドアドミラル,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩2分,築41年,地下1地上6階建,2階,56万円,20000円,112万円,56万円,2SLDK,115.27m2
6090,ＪＲ山手線 神田駅 11階建 築18年,賃貸マンション,東京都千代田区岩本町１,ＪＲ山手線/神田駅 歩5分,築18年,11階建,8階,16.8万円,10000円,16.8万円,-,1LDK,40.21m2
6102,J-FIRST CHIYODA　【ジェイファーストチヨダ】,賃貸マンション,東京都千代田区外神田２,ＪＲ山手線/秋葉原駅 歩7分,築9年,9階建,2階,16.5万円,12000円,-,16.5万円,1SLDK,42.13m2
6105,ニューアガタビル,賃貸マンション,東京都千代田区東神田１,ＪＲ山手線/秋葉原駅 歩12分,築40年,8階建,5階,8.1万円,1000円,8.1万円,8.1万円,ワンルーム,19.72m2
6106,ニューアガタビル,賃貸マンション,東京都千代田区東神田１,ＪＲ山手線/秋葉原駅 歩12分,築40年,8階建,4階,8.1万円,1000円,8.1万円,8.1万円,ワンルーム,19.72m2
6111,シティハウス千代田外神田,賃貸マンション,東京都千代田区外神田６,東京メトロ千代田線/湯島駅 歩2分,築6年,13階建,10階,19万円,20000円,19万円,19万円,1LDK,38.25m2
6114,ＪＲ総武線快速 馬喰町駅 2階建 築60年,賃貸一戸建て,東京都千代田区東神田１,ＪＲ総武線快速/馬喰町駅 歩3分,築60年,2階建,1階,14.5万円,-,29万円,14.5万円,2SDK,42.1m2
6120,フジビュータワー飯田橋,賃貸マンション,東京都千代田区富士見１,東京メトロ東西線/飯田橋駅 歩2分,築31年,地下3地上11階建,10階,82万円,-,246万円,-,2LDK,217.1m2
6123,ＪＲ山手線 神田駅 9階建 築6年,賃貸マンション,東京都千代田区神田富山町,ＪＲ山手線/神田駅 歩3分,築6年,9階建,8階,16.3万円,10000円,16.3万円,-,1DK,32.57m2
6124,ＪＲ山手線 神田駅 9階建 築6年,賃貸マンション,東京都千代田区神田富山町,ＪＲ山手線/神田駅 歩3分,築6年,9階建,8階,16.9万円,10000円,16.9万円,16.9万円,1DK,32.57m2
6138,グリーンパーク神田,賃貸マンション,東京都千代田区神田須田町２,ＪＲ山手線/秋葉原駅 歩5分,築20年,地下1地上12階建,5階,19万円,10000円,19万円,19万円,1LDK,51.48m2
6141,東京メトロ東西線 飯田橋駅 12階建 築25年,賃貸マンション,東京都千代田区飯田橋３,東京メトロ東西線/飯田橋駅 歩2分,築25年,12階建,9階,21.5万円,-,21.5万円,21.5万円,1SLDK,50.8m2
6144,パークリュクス御茶ノ水,賃貸マンション,東京都千代田区神田猿楽町２,ＪＲ中央線/水道橋駅 歩8分,築15年,12階建,5階,12万円,10000円,12万円,12万円,1K,27.69m2
6145,パークリュクス御茶ノ水,賃貸マンション,東京都千代田区神田猿楽町２,ＪＲ中央線/水道橋駅 歩8分,築15年,12階建,6階,18.1万円,-,36.2万円,18.1万円,1LDK,40.35m2
6150,コンフォルト東京,賃貸マンション,東京都千代田区東神田１,ＪＲ総武線快速/馬喰町駅 歩4分,築19年,9階建,2階,9.7万円,-,9.7万円,9.7万円,1DK,26.61m2
6153,東京メトロ半蔵門線 半蔵門駅 19階建 築16年,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩2分,築16年,19階建,3階,24万円,10000円,24万円,-,1LDK,54.98m2
6162,東京メトロ東西線 九段下駅 13階建 築8年,賃貸マンション,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩4分,築8年,13階建,7階,15.6万円,10000円,15.6万円,-,1K,32.63m2
6168,新御茶ノ水アーバントリニティ,賃貸マンション,東京都千代田区神田駿河台３,東京メトロ千代田線/新御茶ノ水駅 歩1分,築22年,地下2地上12階建,9階,19.8万円,12000円,19.8万円,-,1SLDK,45.64m2
6177,ビィ・フォルマ東日本橋,賃貸マンション,東京都千代田区東神田１,ＪＲ総武線快速/馬喰町駅 歩3分,築6年,8階建,8階,12.5万円,10500円,12.5万円,12.5万円,1DK,30.04m2
6180,岡崎ビル,賃貸マンション,東京都千代田区内神田３,ＪＲ山手線/神田駅 歩3分,築46年,5階建,5階,10万円,10000円,10万円,10万円,1DK,27.4m2
6183,東京メトロ東西線 飯田橋駅 11階建 築42年,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/飯田橋駅 歩3分,築42年,11階建,10階,16万円,8000円,16万円,-,2DK,39.75m2
6198,常秀館,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,新築,7階建,2階,19万円,7000円,19万円,19万円,1LDK,39.78m2
6199,常秀館,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,新築,7階建,3階,19.2万円,7000円,19.2万円,19.2万円,1LDK,39.78m2
6200,常秀館,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,新築,7階建,4階,19.4万円,7000円,19.4万円,19.4万円,1LDK,39.78m2
6201,常秀館,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,新築,7階建,5階,19.6万円,7000円,19.6万円,19.6万円,1LDK,39.78m2
6213,フォレシティ神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,築17年,12階建,8階,9.85万円,10000円,9.85万円,9.85万円,ワンルーム,23.75m2
6214,フォレシティ神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,築17年,12階建,10階,9.95万円,10000円,9.95万円,9.95万円,1K,23.75m2
6215,フォレシティ神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,築17年,12階建,12階,11.5万円,15000円,11.5万円,11.5万円,1K,27.84m2
6234,カーサ三崎町,賃貸マンション,東京都千代田区神田三崎町３,ＪＲ中央線/水道橋駅 歩3分,築11年,6階建,5階,10.2万円,10000円,10.2万円,10.2万円,1K,25.03m2
6237,SYFORME JIMBOCHO,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,築9年,12階建,10階,11.2万円,8000円,-,11.2万円,ワンルーム,25.68m2
6238,SYFORME JIMBOCHO,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,築9年,12階建,5階,11.7万円,8000円,-,11.7万円,1K,25.81m2
6243,東京メトロ半蔵門線 神保町駅 地下1地上5階建 築2年,賃貸マンション,東京都千代田区神田猿楽町２,東京メトロ半蔵門線/神保町駅 歩6分,築2年,地下1地上5階建,1階,22.5万円,12000円,-,-,1LDK,44.67m2
6244,東京メトロ半蔵門線 神保町駅 地下1地上5階建 築2年,賃貸マンション,東京都千代田区神田猿楽町２,東京メトロ半蔵門線/神保町駅 歩6分,築2年,地下1地上5階建,B1-1階,22.5万円,12000円,-,-,1LDK,44.67m2
6255,東京メトロ半蔵門線 半蔵門駅 8階建 築43年,賃貸マンション,東京都千代田区麹町１,東京メトロ半蔵門線/半蔵門駅 歩2分,築43年,8階建,6階,55万円,-,55万円,55万円,2LDK,118.52m2
6258,ヒルクレスト御茶ノ水,賃貸マンション,東京都千代田区神田駿河台２,ＪＲ総武線/御茶ノ水駅 歩1分,築16年,9階建,9階,20.5万円,-,20.5万円,20.5万円,1LDK,50.09m2
6267,Royal Pine Residence,賃貸マンション,東京都千代田区神田駿河台４,東京メトロ千代田線/新御茶ノ水駅 歩5分,築18年,地下2地上17階建,16階,39万円,-,78万円,39万円,1LDK,87.58m2
6276,東京メトロ南北線 永田町駅 4階建 築42年,賃貸マンション,東京都千代田区平河町２,東京メトロ南北線/永田町駅 歩4分,築42年,4階建,3階,12.35万円,9500円,-,-,1LDK,36.68m2
6282,メインステージ神田岩本町II,賃貸マンション,東京都千代田区岩本町１,ＪＲ総武線快速/馬喰町駅 歩3分,築19年,8階建,8階,8万円,18000円,-,8万円,1K,22.85m2
6294,東京メトロ半蔵門線 神保町駅 11階建 築20年,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩4分,築20年,11階建,5階,11.7万円,8000円,11.7万円,11.7万円,1K,26.68m2
6300,ＢーＷＡＬＬ神保町,賃貸マンション,東京都千代田区神田神保町１,都営三田線/神保町駅 歩2分,築20年,9階建,8階,11.35万円,10500円,-,11.35万円,1K,22.79m2
6306,ベルジューレ神保町,賃貸マンション,東京都千代田区神田神保町１,都営三田線/神保町駅 歩3分,築7年,12階建,10階,11.8万円,10000円,11.8万円,11.8万円,1K,25.28m2
6309,アデニウム東神田,賃貸マンション,東京都千代田区東神田１,ＪＲ総武線快速/馬喰町駅 歩2分,築12年,15階建,14階,14.5万円,10000円,-,-,1DK,34.16m2
6312,東京メトロ半蔵門線 神保町駅 9階建 築22年,賃貸マンション,東京都千代田区神田錦町３,東京メトロ半蔵門線/神保町駅 歩8分,築22年,9階建,8階,32万円,14900円,32万円,32万円,2LDK,89.39m2
6315,ビラビスタ猿楽町,賃貸マンション,東京都千代田区神田猿楽町１,都営三田線/神保町駅 歩3分,築8年,8階建,5階,10万円,10000円,10万円,-,1K,20.92m2
6327,東京メトロ東西線 飯田橋駅 地下1地上8階建 築39年,賃貸マンション,東京都千代田区富士見１,東京メトロ東西線/飯田橋駅 歩5分,築39年,地下1地上8階建,4階,11万円,5000円,22万円,11万円,2K,35.83m2
6333,東京メトロ東西線 九段下駅 地下1地上13階建 築46年,賃貸マンション,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩3分,築46年,地下1地上13階建,5階,13万円,-,26万円,13万円,2K,41.08m2
6339,東京メトロ丸ノ内線 淡路町駅 地下1地上13階建 築20年,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩4分,築20年,地下1地上13階建,2階,9.7万円,5000円,9.7万円,9.7万円,1K,24.19m2
6345,東京メトロ有楽町線 飯田橋駅 10階建 築21年,賃貸マンション,東京都千代田区富士見２,東京メトロ有楽町線/飯田橋駅 歩4分,築21年,10階建,8階,12.3万円,6000円,12.3万円,12.3万円,1K,28.37m2
6348,東京メトロ有楽町線 麹町駅 9階建 築48年,賃貸マンション,東京都千代田区平河町２,東京メトロ有楽町線/麹町駅 歩4分,築48年,9階建,3階,13万円,10000円,26万円,13万円,1LDK,32m2
6351,ＣＫ３２１５－ＮＯＲＴＨ,賃貸マンション,東京都千代田区神田佐久間町３,ＪＲ山手線/秋葉原駅 歩4分,築6年,5階建,2階,7.3万円,5000円,-,-,ワンルーム,10.78m2
6354,東京メトロ東西線 飯田橋駅 11階建 築1年,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/飯田橋駅 歩6分,築1年,11階建,8階,12万円,15000円,12万円,12万円,ワンルーム,25.44m2
6384,ＪＲ山手線 秋葉原駅 10階建 築21年,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/秋葉原駅 歩4分,築21年,10階建,6階,8.2万円,8000円,8.2万円,8.2万円,1K,22.99m2
6393,ＧＲＡＮ　ＰＡＳＥＯ神田駅前,賃貸マンション,東京都千代田区神田須田町２,ＪＲ京浜東北線/神田駅 歩5分,築5年,12階建,7階,10.7万円,15000円,-,-,1K,21.3m2
6394,ＧＲＡＮ　ＰＡＳＥＯ神田駅前,賃貸マンション,東京都千代田区神田須田町２,ＪＲ京浜東北線/神田駅 歩5分,築5年,12階建,8階,10.8万円,15000円,-,-,1K,21.3m2
6405,都営新宿線 馬喰横山駅 10階建 築22年,賃貸マンション,東京都千代田区岩本町１,都営新宿線/馬喰横山駅 歩4分,築22年,10階建,9階,9万円,5000円,9万円,9万円,1K,23.06m2
6414,ＴＨＥ千代田麹町ＴＯＷＥＲ,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩1分,築5年,地下3地上26階建,8階,30万円,3800円,30万円,30万円,1LDK,41.08m2
6417,東京メトロ丸ノ内線 淡路町駅 地下1地上6階建 築37年,賃貸マンション,東京都千代田区神田司町２,東京メトロ丸ノ内線/淡路町駅 歩3分,築37年,地下1地上6階建,5階,12万円,15000円,12万円,-,1LDK,39.22m2
6426,東京メトロ半蔵門線 半蔵門駅 12階建 築11年,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩2分,築11年,12階建,6階,11万円,10000円,-,11万円,1K,25.27m2
6429,新内こもれび千代田,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩3分,築19年,9階建,4階,11.2万円,10000円,11.2万円,11.2万円,1K,29.73m2
6432,カーサスプレンディッド麹町,賃貸マンション,東京都千代田区麹町２,東京メトロ半蔵門線/半蔵門駅 歩2分,築10年,10階建,9階,13万円,10000円,13万円,13万円,1K,25.35m2
6435,ＪＲ山手線 神田駅 15階建 築17年,賃貸マンション,東京都千代田区神田美倉町,ＪＲ山手線/神田駅 歩5分,築17年,15階建,3階,9.1万円,6000円,9.1万円,-,1K,22.58m2
6436,ＪＲ山手線 神田駅 15階建 築17年,賃貸マンション,東京都千代田区神田美倉町,ＪＲ山手線/神田駅 歩5分,築17年,15階建,4階,10.3万円,6000円,10.3万円,-,1K,26.36m2
6437,ＪＲ山手線 神田駅 15階建 築17年,賃貸マンション,東京都千代田区神田美倉町,ＪＲ山手線/神田駅 歩5分,築17年,15階建,13階,10.4万円,6000円,10.4万円,-,1K,25.86m2
6438,ＪＲ山手線 神田駅 15階建 築17年,賃貸マンション,東京都千代田区神田美倉町,ＪＲ山手線/神田駅 歩5分,築17年,15階建,12階,10.8万円,6000円,10.8万円,-,1K,26.36m2
6459,東京メトロ日比谷線 小伝馬町駅 11階建 築3年,賃貸マンション,東京都千代田区岩本町１,東京メトロ日比谷線/小伝馬町駅 歩5分,築3年,11階建,9階,14.3万円,10000円,-,-,1K,30.01m2
6477,ＪＲ山手線 秋葉原駅 地下1地上12階建 築24年,賃貸マンション,東京都千代田区神田佐久間町３,ＪＲ山手線/秋葉原駅 歩4分,築24年,地下1地上12階建,2階,8.6万円,4000円,-,-,1K,23.01m2
6480,ＪＲ中央線 水道橋駅 8階建 築15年,賃貸マンション,東京都千代田区神田三崎町２,ＪＲ中央線/水道橋駅 歩3分,築15年,8階建,3階,12.2万円,10000円,-,12.2万円,ワンルーム,34.94m2
6486,リヴシティ秋葉原,賃貸マンション,東京都千代田区岩本町３,都営新宿線/岩本町駅 歩3分,築20年,12階建,5階,10.7万円,10000円,-,-,1K,24.8m2
6487,リヴシティ秋葉原,賃貸マンション,東京都千代田区岩本町３,都営新宿線/岩本町駅 歩3分,築20年,12階建,12階,11万円,10000円,-,-,1K,24.8m2
6488,リヴシティ秋葉原,賃貸マンション,東京都千代田区岩本町３,都営新宿線/岩本町駅 歩3分,築20年,12階建,9階,11.5万円,10000円,-,-,1K,24.8m2
6495,ＪＲ総武線快速 馬喰町駅 12階建 築19年,賃貸マンション,東京都千代田区東神田３,ＪＲ総武線快速/馬喰町駅 歩9分,築19年,12階建,9階,9.3万円,5000円,9.3万円,9.3万円,1K,22.4m2
6501,ＪＲ山手線 秋葉原駅 12階建 築18年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩5分,築18年,12階建,12階,10.9万円,-,10.9万円,10.9万円,1K,31.01m2
6504,東京メトロ丸ノ内線 御茶ノ水駅 9階建 築49年,賃貸マンション,東京都千代田区神田駿河台１,東京メトロ丸ノ内線/御茶ノ水駅 歩6分,築49年,9階建,3階,11万円,11000円,22万円,11万円,2DK,23.84m2
6507,ＪＲ中央線 神田駅 12階建 築7年,賃貸マンション,東京都千代田区神田司町２,ＪＲ中央線/神田駅 歩6分,築7年,12階建,11階,14.6万円,10000円,14.6万円,-,1DK,33.09m2
6513,K-suite外神田,賃貸マンション,東京都千代田区外神田６,東京メトロ銀座線/末広町駅 歩3分,築3年,地下1地上5階建,2階,11.7万円,7000円,-,-,ワンルーム,20.64m2
6516,ＪＲ総武線 浅草橋駅 12階建 築19年,賃貸マンション,東京都千代田区東神田３,ＪＲ総武線/浅草橋駅 歩3分,築19年,12階建,12階,8.1万円,10000円,-,-,1K,22.44m2
6528,ＣＫ１２６,賃貸マンション,東京都千代田区神田神保町１,都営新宿線/神保町駅 歩3分,築7年,5階建,4階,7.2万円,3000円,-,-,ワンルーム,9.21m2
6529,ＣＫ１２６,賃貸マンション,東京都千代田区神田神保町１,都営新宿線/神保町駅 歩3分,築7年,5階建,2階,7.6万円,3000円,-,-,ワンルーム,12.13m2
6537,ＪＲ総武線快速 馬喰町駅 地下1地上12階建 築19年,賃貸マンション,東京都千代田区東神田１,ＪＲ総武線快速/馬喰町駅 歩5分,築19年,地下1地上12階建,11階,10.7万円,9000円,-,5.35万円,1K,22.7m2
6543,メイクスデザイン秋葉原,賃貸マンション,東京都千代田区神田須田町２,ＪＲ山手線/秋葉原駅 歩4分,築22年,10階建,3階,9.7万円,10500円,-,9.7万円,ワンルーム,22.07m2
6549,ガラ・ステージ神田,賃貸マンション,東京都千代田区神田須田町１,東京メトロ丸ノ内線/淡路町駅 歩2分,築19年,13階建,8階,9万円,10000円,9万円,18万円,1K,23.21m2
6562,都営新宿線 市ケ谷駅 7階建 築20年,賃貸マンション,東京都千代田区四番町,都営新宿線/市ケ谷駅 歩5分,築20年,7階建,7階,23.5万円,6000円,23.5万円,23.5万円,1LDK,46.61m2
6570,ＤＵＡＲＥＳ麹町,賃貸マンション,東京都千代田区麹町５,東京メトロ南北線/四ツ谷駅 歩6分,築12年,10階建,5階,13.8万円,-,13.8万円,13.8万円,1K,26.56m2
6579,アビデ市ヶ谷五番町,賃貸マンション,東京都千代田区五番町,ＪＲ中央線/市ケ谷駅 歩4分,築24年,7階建,5階,12.5万円,-,12.5万円,12.5万円,ワンルーム,24.97m2
6591,ＪＲ山手線 神田駅 15階建 築21年,賃貸マンション,東京都千代田区岩本町１,ＪＲ山手線/神田駅 歩5分,築21年,15階建,3階,12.7万円,10000円,12.7万円,12.7万円,1K,30.13m2
6597,ｔａｌｉｅｓｉｎ　ＣＹ,賃貸マンション,東京都千代田区飯田橋１,ＪＲ中央線/飯田橋駅 歩5分,築5年,8階建,7階,15万円,10000円,15万円,15万円,ワンルーム,30.3m2
6598,ｔａｌｉｅｓｉｎ　ＣＹ,賃貸マンション,東京都千代田区飯田橋１,ＪＲ中央線/飯田橋駅 歩5分,築5年,8階建,2階,16.4万円,10000円,16.4万円,16.4万円,ワンルーム,30.3m2
6599,ｔａｌｉｅｓｉｎ　ＣＹ,賃貸マンション,東京都千代田区飯田橋１,ＪＲ中央線/飯田橋駅 歩5分,築5年,8階建,2階,17.4万円,10000円,17.4万円,17.4万円,ワンルーム,30.34m2
6606,ＪＲ総武線 浅草橋駅 13階建 築22年,賃貸マンション,東京都千代田区東神田３,ＪＲ総武線/浅草橋駅 歩3分,築22年,13階建,9階,8.7万円,8000円,8.7万円,8.7万円,1K,25.83m2
6609,東京メトロ丸ノ内線 淡路町駅 12階建 築17年,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,築17年,12階建,8階,9.85万円,10000円,9.85万円,9.85万円,1K,23.75m2
6615,スカイコート神田弐番館,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩3分,築19年,13階建,13階,10.95万円,9500円,-,-,ワンルーム,24.01m2
6622,東京メトロ東西線 九段下駅 14階建 築18年,賃貸マンション,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩1分,築18年,14階建,7階,11.2万円,10000円,11.2万円,11.2万円,1K,23.97m2
6636,ＪＲ山手線 秋葉原駅 13階建 築3年,賃貸マンション,東京都千代田区東神田１,ＪＲ山手線/秋葉原駅 歩9分,築3年,13階建,8階,22.5万円,10000円,-,-,2DK,47.57m2
6639,ア－バン　シュプリ－ム　秋葉原,賃貸マンション,東京都千代田区神田和泉町,ＪＲ総武線/浅草橋駅 歩6分,築7年,5階建,3階,9万円,3000円,9万円,9万円,1K,20.38m2
6642,VIDA＃017,賃貸マンション,東京都千代田区東神田２,ＪＲ総武線/浅草橋駅 歩5分,築22年,11階建,6階,8.5万円,10000円,-,-,1K,24.87m2
6643,VIDA＃017,賃貸マンション,東京都千代田区東神田２,ＪＲ総武線/浅草橋駅 歩5分,築22年,11階建,7階,9万円,6000円,9万円,9万円,1K,24.87m2
6651,東京メトロ有楽町線 麹町駅 10階建 築21年,賃貸マンション,東京都千代田区麹町２,東京メトロ有楽町線/麹町駅 歩3分,築21年,10階建,5階,11.5万円,10000円,11.5万円,11.5万円,ワンルーム,27.89m2
6657,ilusa,賃貸マンション,東京都千代田区神田小川町３,都営三田線/神保町駅 歩4分,築22年,6階建,2階,21.5万円,15000円,43万円,-,ワンルーム,48.77m2
